Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antigua and Barbuda,ATG,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493925925.9,522962963,544037037,579296296.3,592851851.9,607259259.3,656111111.1,617851851.9,603111111.1,588074074.1,662814814.8,734222222.2,846222222.2,1014407407,1155666667,1180259259,875666666.7,841518518.5,794962963,870111111.1,893407407.4,924222222.2,852148148.1,923185185.2,970767333.3,1132821926,1156389815,655278518.5,,
Australia,AUS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2611840418,2952320473,2512160402,2974720476,3270400524,3959200634,4124960660,4222400676,4730880758,4883200782,5455520874,5839680935,6220794393,7022421525,11737656595,14315171378,14038086378,16144757972,17265406488,20687265705,23827298050,29570416812,32610614587,27657817241,28996252254,31190677253,32912702854,32314716781,39231426856,50821249483,53060666981,52680246837,53341639125,55746908375,59676236596,73019750520,77631210400,82133247074,81674014787,80794585788,89663275223,83770452068,82017017770,98900407688,1.21992E+11,1.45653E+11,1.62451E+11,1.86601E+11,2.39715E+11,2.11107E+11,2.37996E+11,2.85357E+11,3.35184E+11,3.35588E+11,3.13703E+11,2.91118E+11,2.60021E+11,2.74846E+11,3.07308E+11,3.01766E+11,2.68377E+11,2.76302E+11,3.34108E+11
Austria,AUT,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,4222754697,4883423835,6036690874,8127807998,10716325088,11418675832,13387942011,16661465323,18958761490,23982629954,28828883216,25143195956,23075814310,23074387927,22995355203,24397666933,31708292925,39047892904,44657529254,47283383255,59578835774,61623796111,67252988981,60542945700,68853040598,83696833629,85017442163,80519032585,84196220542,84520548578,82889700573,84769006147,89249971241,1.09675E+11,1.32416E+11,1.4355E+11,1.58881E+11,1.8748E+11,2.10949E+11,1.68155E+11,1.87341E+11,2.20825E+11,2.09526E+11,2.17785E+11,2.2181E+11,1.88458E+11,1.92281E+11,2.12335E+11,2.38695E+11,2.31776E+11,2.11567E+11,2.65749E+11,2.79725E+11
Azerbaijan,AZE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3474320242,2202000000,242767527.7,1193938485,365437755.7,1291026426,1776338235,2101809742,2424529284,1917519518,2023511150,2129887793,3121180665,4769352011,6312229984,7006931304,8132229740,9423348848,11463821265,10235220934,10942312484,15882127610,17620927826,19474569888,19720085804,18474105426,16528823356,17104504465,17705002892,17712470588,15537823529,16336941176,21274411765
Burundi,BDI,Imports of goods and services (current US$),NE.IMP.GNFS.CD,26249999.97,29749999.97,34999999.97,33249999.97,31500001.97,19928888.87,21494857.12,21191999.98,24487999.98,23004571.41,28207999.97,35831999.97,37205714.29,40576812.54,53633015.87,79994920.63,74673623.19,94676666.67,123426666.7,177800000,214223333.3,213555555.6,272632222.2,268000000,232495196.7,239045071.7,268172621.5,291223994,280918091.1,255573911.4,314442790,332769070,319246482.3,254942339.4,263464979,272899694.1,136902390.4,140485312.9,173751533.1,129001348.6,141321270.5,138400674.4,140218229.2,164737396.3,225367196.2,322845665.4,446954652.5,433983785.3,591543748.4,520184959.5,605576363.4,764650773.7,793552538.1,919568792.6,928056749.3,509708728,440550588.9,441594730.6,557815769.4,614607193.6,588865206.2,661150004.1,717464727.7
Belgium,BEL,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,11422513917,12470410328,15284572450,22015693438,29348848384,29954319403,34320538140,39904208216,47131229666,60077552284,67141114637,58814105824,55093659721,52310487574,53192322675,52988261431,66063110890,80749672609,92534612178,1.00783E+11,1.229E+11,1.22855E+11,1.32089E+11,1.18889E+11,1.34214E+11,1.62055E+11,1.61994E+11,1.53905E+11,1.565E+11,1.56515E+11,1.65003E+11,1.60904E+11,1.68605E+11,2.02552E+11,2.43726E+11,2.7095E+11,2.9706E+11,3.49267E+11,4.14938E+11,3.21712E+11,3.56962E+11,4.22832E+11,3.98617E+11,4.09744E+11,4.22863E+11,3.53165E+11,3.7245E+11,4.12988E+11,4.53194E+11,4.38172E+11,4.08268E+11,5.0981E+11,5.65561E+11
Benin,BEN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,27392931.43,22470097.92,23547276.96,29521377.16,33034386.49,43212948.79,49061961.92,60547020,62251310.42,70874406.42,81609754.66,93259582.9,109969550.5,130886433.3,163593501.1,226162498,216705686.9,260873185.7,320872361.2,439163940.9,524469592.8,567561867.2,508205555.8,345886017,325136016.7,383239093.6,435776313.2,483576069.2,519824990.4,372643203.6,520152830.1,602729540.8,567957714.4,748725747.1,576481296.9,790421148,708783071.8,715320152.3,797921959.4,1154049285,941345994,1040788979,1008395974,1228828002,1324063349,1353744166,1527581987,2211437452,2509050410,2412711823,2704110554,2819548392,2990340506,3959347661,4495143319,3648295538,3709467045,4352984751,4923520740,4900485059,3906745097,4800390733,5095285355
Burkina Faso,BFA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,52340174.53,55303955.72,59614674.68,61742268.45,47262650.24,48113638.5,50541598.9,62777883.04,70389672.84,79074219.43,73994563.59,96149802.04,123177198.5,154654989.7,183824251.7,283412263.1,263748239.5,344381809.4,409486697.6,511997852.3,602966201.6,558238056.6,554827918.5,473268760.7,419829292.6,481677816.9,589940832.7,665476420.9,709757474.3,618479189.8,758452847.9,731992012.1,655479338.3,661457471.3,474345780.5,633116322.3,714319725.6,651175140.8,789066174.3,911820910.1,780034955.1,721473325,813114614.3,1002568390,1341080287,1495427537,1581180860,1786796467,2385163306,2505097429,2887043504,3781344361,4351201286,4968860982,4446645108,3902427858,4103751193,4629394219,5166928255,5023004552,,,
Bangladesh,BGD,Imports of goods and services (current US$),NE.IMP.GNFS.CD,397875421.7,563656831.8,549204082.3,620050850.4,760610844.8,789516322.8,814737821.8,913639901.2,868581340.5,988170710.7,1124763247,938861337.7,863537083.3,958701323.7,1294857683,1575422623,1784273650,1194951862,2056130688,2459010309,3243617765,2858506732,2877295409,2590824916,2538320000,2860038462,2577133333,2842322581,3255865305,3679750954,4126170021,3785238095,3915198939,4677910053,4681795511,6580597015,7601784841,7625081967,8058876652,8525935940,9060862652,10102557450,9060891520,9761830743,10229675556,13891430894,15626727219,18268578048,22873050576,23726335161,25106319011,35373869598,37272063303,40135258676,44128004307,48280625470,46185468304,50467021833,63761123907,64920430093,59183704838,71019877840,96171612323
Bulgaria,BGR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,6088384615,6859642857,6424733333,6118555556,6729388889,7411526316,8802352941,11977307692,10352294118,10589277778,7577727273,4290322581,5479381443,4964922400,4429059041,4353466907,4588948893,4174241610,5276479126,6449155466,5500642168,6269089467,6827325317,9430005935,13630083465,17080282483,22027471461,31626174948,39341104865,26258393275,27053994442,33863922852,34550158970,36383063760,37546057601,31971302473,31832827551,37197418125,41935203792,41833457730,38131655084,50140855657,60315900721
Bahrain,BHR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,3540992040,4161702139,3892819159,3471808786,3665159579,3280851064,2588829787,2964627660,2869148936,3385638032,4001596011,4414893617,4596276330,4198138419,4119149320,4122340745,4649734444,4413032326,3950532575,4168883210,5132180851,4794680851,5624202128,6205053191,8170478723,10286968085,11559042553,12626329787,16276329787,11353989362,13097074468,21506648936,25749202128,28331382979,26548936170,22301861702,21088031915,23876329787,27048670213,25207712766,23296808511,27577393617,
"Bahamas, The",BHS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,471600000,562000000,686200000,839600000,889700000,939900000,1005300000,1190100000,1375500000,1431700000,1514500000,,1750510000,1771670000,1716350000,1592260000,1589080000,1739670000,1883080000,2086690000,2713700000,2943000000,3015600000,3359600000,3196400000,3028700000,3127000000,3421700000,4193800000,5006500000,5088400000,5045700000,4225400000,4414100000,5125700000,4944700000,4824700000,5133800000,4333700000,4407200000,4912800000,5092300000,4813800000,3354900000,4492700000,5503000000
Bosnia and Herzegovina,BIH,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085000000,1334000000,2336999934,2673052454,4049400618,4413355740,3534084690,3710481157,4010117551,5097761343,6020436269,6738059090,6891902172,8907144982,11336721891,8584705388,8806758942,10403555462,9611582992,9850928530,10497404937,8723361076,8958199009,10321684192,11562738890,11158114627,9694290640,12750062005,14935645409
Belarus,BLR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9450000000,6000000000,9814814815,13570247934,12558744545,7552655203,7441153846,9276190109,9727865938,7481164885,9221273499,8685107914,9833266018,12296962249,17182673825,17850098894,23741980208,30430203309,41713491988,30401397675,36940382943,49106553917,48810119031,46436133120,43907032427,32689337020,29922653863,36435067987,41384793447,42353334874,35547585133,45415029494,42128946367
Belize,BLZ,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,113599759.1,123637027.2,107602916.7,104498168.5,125848628.6,109048963.8,112664081.5,147241619.6,182372058,212186146.7,211000000,258000000,273500000,280500000,304000000,304000000,321500000,363500000,391500000,492500000,611500000,601000000,615000000,651500000,617500000,697000000,749000000,774000000,897500000,745000000,773500000,919500000,994000000,1071500000,1104000000,1151500000,1101500000,1085500000,1126000000,1200500000,901000000,1248500000,1483378183
Bermuda,BMU,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579023000,1498077000,1484189000,1594256000,1626299000,1552149000,1615949000,1703748000,1884254000,1916492000,1519287000,1713900000,1960700000
Bolivia,BOL,Imports of goods and services (current US$),NE.IMP.GNFS.CD,90235690.24,95707070.71,114814814.8,127188552.2,127693602.7,161279461.3,177188552.2,196632996.6,206228956.2,216161616.2,247727272.7,267340067.3,302068446.8,357671164.4,562818590.7,774712643.7,816491754.1,956771614.2,1131534233,1211272668,1011201299,1352344530,1644890631,1303554585,1592952533,1228323634,1017852210,1043169567,1063832558,1092052812,1164631950,1440843823,1640396016,1627872343,1626745523,1825621968,2017474832,2326921675,2768694163,2260774991,2294548701,2056195013,2191068870,2131094649,2309687991,3064676067,3752327021,4495769534,6329633061,5705628903,6744604917,9199145202,10233217742,11386396498,13848955977,12231374703,10831641433,11927938900,12537987221,12853418148,9241956049,12605111071,
Brazil,BRA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1078651437,1118302726,1033970196,2097486801,1204326396,1210637974,1621508461,1764834055,2239326015,2454948720,3153304260,4004245614,5177234172,7532763885,14596797400,14233481673,14401534168,13948797700,15791774011,20642227950,26571483280,25827534749,23307743171,18314364419,16563864377,15818492521,17038985026,18211637170,18780447290,22554535409,32355638464,32269476009,32749252757,39867937220,50043840138,72744966691,75733720724,84722106139,81258662205,68462744051,81614529574,81559242940,68250203686,72344863379,87894359747,1.05596E+11,1.29231E+11,1.67164E+11,2.32732E+11,1.87614E+11,2.62997E+11,3.23145E+11,3.26316E+11,3.47276E+11,3.35826E+11,2.53273E+11,2.16686E+11,2.43511E+11,2.72994E+11,2.76635E+11,2.33941E+11,3.07156E+11,3.70472E+11
Barbados,BRB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,242949854,282486775.1,302530895,377933177.5,510366429.7,619897578.7,653706557.9,657634365.8,728682941.4,769203997.4,719733505.7,713319743.4,658579028.5,696315815.6,823397802.4,872719136.9,836821955.9,676900000,779893601.2,821061005.3,998458708.3,1073683687,1230845722,1286033908,1372743996,1448450000,1386450000,1381950000,1512750000,1734650000,2016750000,2131850000,2216150000,2433500000,2045250000,2174250000,2266450000,2210000000,2398150000,2336350000,2234372950,2035109800,2027176350,2035800000,2021650000,1719050000,1960350000,
Brunei Darussalam,BRN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,186304817.7,273689537.5,259830489.7,278757071.5,280999549.4,396402334.7,574909027.4,598762242.7,734570858.1,729750834.4,,,,,,1051142797,1311975872,1487077074,2004338128,2125275085,1978468389,2642913837,3102037825,3040128142,2325523497,2226605597,2149496412,2195239497,2432368132,2358643847,2502614006,2601044582,2892443568,3416823240,3974691285,3841137100,3832756648,5563182738,6758341000,7761562065,5854951919,4872547210,4302691525,4318058335,5693330789,6810535119,6355255130,9377938267,10106440761
Bhutan,BTN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,51125884.17,70336478.04,71072514.35,75800347.87,76372597.2,88076806.47,105556862.5,96429425.61,139448759,104800468.4,95695146.68,102157054.4,140214071.9,103714447.6,106753601.4,129201902.6,144491151,168752836.9,186284980.4,212478666.5,212051481,227470726.3,264918198.9,316143248.9,436852245,527747798,531258222.2,685306409.1,729319533.2,786732573.2,1121423494,1282995528,1149629129,1119921723,1122773966,1271188125,1161352135,1252714142,1305876238,1221920816,1075563507,1339262955,
Botswana,BWA,Imports of goods and services (current US$),NE.IMP.GNFS.CD,12056285.21,13991993.65,15982828.4,18034714.26,20215859.48,23173534.56,26220968.53,29774787.45,41701641.41,40665288.27,58625359.27,78462333.45,99569320.82,151271951.3,198240704.7,226569648.8,246732562,313019745.2,404573046.4,534964949.8,704879540.3,768101538,703095599.2,733413304.9,719207624.1,571123219.6,684167837.1,951999003.3,1161743696,1422760512,1887430523,1834576325,1723755466,1627126688,1718960660,2070047688,1799833343,2395855113,2517487482,2398367657,2320710338,2133671163,2158051453,2779825087,3706961580,3529325542,3455002315,4440003828,5586610727,5327078313,6633895056,8269309870,8867435078,9191467359,9005845768,8092740294,6915891944,6281640519,7362391280,7694781663,6937525396,8783747124,8548720907
Central African Republic,CAF,Imports of goods and services (current US$),NE.IMP.GNFS.CD,38336816.06,44034883.49,46936114.7,49792597.37,57952751.46,56720586.84,67160961.42,76828934.76,75999787.02,70699843.8,78597117.36,75389864.29,77877586.27,98946254.81,121947261.7,151160964.9,132307726.3,174129613.2,206899211.3,246199254.3,327433639.1,236648335,256106223.8,241183744.3,226437036.8,273603680.3,321221783.6,342886732.9,316906377.3,326536959,372791504.8,359806856.3,372229134.9,292701105.3,212952089.4,315152751.8,258135808.2,271328268.2,274652958.1,239761597.8,231830682.5,210529062.9,200666492.6,205562216,244878981,290432567.5,322776663.3,398870436.1,467132355.7,447641811.6,488611163.2,520455629.2,539911032.8,396266752.5,690077856.8,611811304.2,651691428.8,826531337.7,748917943.2,762137822.9,799194659.9,767508109,777850412.1
Canada,CAN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,7480288612,7594717192,7854322982,8918982106,10166196447,11787348036,12634530727,14340983889,16708140416,17327973969,19613580106,23413476109,28460434576,38773333819,41680788376,46805958621,48954395863,53338456885,63189732043,70919513025,79017226958,67405890207,74471047712,87541510678,92626375201,98837610970,1.07691E+11,1.28939E+11,1.41921E+11,1.48546E+11,1.52333E+11,1.57741E+11,1.68554E+11,1.8332E+11,1.99741E+11,2.09117E+11,2.37129E+11,2.41249E+11,2.59518E+11,2.87156E+11,2.68275E+11,2.71159E+11,2.95297E+11,3.37418E+11,3.85981E+11,4.30736E+11,4.70814E+11,5.06719E+11,4.11818E+11,5.02035E+11,5.70643E+11,5.89511E+11,5.89049E+11,5.89434E+11,5.34115E+11,5.17396E+11,5.54923E+11,5.91337E+11,5.89707E+11,5.25931E+11,6.19569E+11,7.17787E+11
Central Europe and the Baltics,CEB,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31336E+11,1.50365E+11,1.61145E+11,1.779E+11,1.73052E+11,1.86065E+11,2.01849E+11,2.26923E+11,2.8907E+11,3.76522E+11,4.42345E+11,5.42874E+11,7.02655E+11,8.43356E+11,6.11448E+11,6.99113E+11,8.28894E+11,7.89121E+11,8.23076E+11,8.65838E+11,7.5791E+11,7.74644E+11,8.83918E+11,1.00894E+12,1.00026E+12,9.33791E+11,1.19525E+12,1.36287E+12
Switzerland,CHE,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,10391033276,11834464402,14016188784,19142725268,23744286322,22549303778,25019286107,30057985675,40274867538,49698176214,59517625508,53573784645,50419222049,50566862510,48699783669,50189228061,68618694406,79510774269,88624908768,90757831808,1.09367E+11,1.03278E+11,1.0679E+11,1.00337E+11,1.08769E+11,1.27844E+11,1.28302E+11,1.23738E+11,1.28122E+11,1.28197E+11,1.2983E+11,1.3136E+11,1.33686E+11,1.54303E+11,1.78599E+11,2.02483E+11,2.19202E+11,2.54108E+11,3.04334E+11,2.86885E+11,3.3073E+11,4.23135E+11,4.02767E+11,4.35221E+11,3.98696E+11,3.70031E+11,3.90368E+11,3.98165E+11,4.1321E+11,4.12351E+11,4.28104E+11,4.76217E+11,5.06407E+11
Channel Islands,CHI,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Imports of goods and services (current US$),NE.IMP.GNFS.CD,650749016.1,749626664.1,720937042.5,825909229.2,788725204.9,773076168.8,960087641.2,910822968.7,941992628.4,1175761316,1277425439,1309802672,1557513378,2589242820,3129085196,2025174878,2099453780,3075423059,3783299613,5571046745,7679845876,9047297177,5382457609,4355669096,4799956809,4307602968,4672424640,5752908626,6765483464,8748270463,9686075082,10137302068,12544847313,13669616704,14680805307,19346455901,21977670877,24193804820,23526710129,19947293403,22370209243,21667912522,21247880927,23436226305,29925545721,39002525362,45915041627,54957348249,70992309860,50687397801,69069240731,87405806890,91669517074,91643793543,84645796113,73132216572,70139450587,76538667149,87580993902,82722508551,68173114148,1.03698E+11,1.18446E+11
China,CHN,Imports of goods and services (current US$),NE.IMP.GNFS.CD,2644396973,1746683100,1372974158,1450153179,1710124617,2246315708,2481914824,2169136687,2067585344,1917289357,2278812138,2128516150,2850695134,5207559643,7791517397,7925483723,6660089503,7148149887,7617886179,10560869565,12450000000,14591269841,12848864952,14674155556,20474252781,38259410780,33619844234,28192699201,37515628975,35150175986,35175962766,40752443972,53543909262,61828975141,97249963761,1.19901E+11,1.37262E+11,1.44624E+11,1.44914E+11,1.68058E+11,2.24306E+11,2.43975E+11,2.95621E+11,4.12135E+11,5.56182E+11,6.48711E+11,7.82809E+11,9.50017E+11,1.14904E+12,1.04253E+12,1.43242E+12,1.82541E+12,1.94321E+12,2.11939E+12,2.24128E+12,2.00326E+12,1.94449E+12,2.20852E+12,2.56412E+12,2.49615E+12,2.37474E+12,3.09328E+12,3.13759E+12
Cote d'Ivoire,CIV,Imports of goods and services (current US$),NE.IMP.GNFS.CD,125105306,173748887.9,166140935.2,178997280.7,227712367.5,277073905,293880200.5,311787397.2,358694227.6,368517421.3,423656564,450325383.7,536449116.2,833598100,1178207293,1424552664,1689889781,2276134499,2957601062,3443467181,4190183007,3565652813,2975902021,2442621281,2175044040,2260591397,2764108259,2987989283,2860181528,2835035994,2926930088,2831550716,3135722386,2861522274,2436641868,3788785246,4472517349,4664272131,5193200985,5124618233,4504767964,4310942883,4430687720,5210727692,6577555503,7437492769,7799176144,8898369148,10539361085,10593072861,11869039594,10800620113,12821464741,12482686219,12466424416,11618511649,10951634333,12163812795,13661082694,12880590790,12660139882,16182318035,19249435983
Cameroon,CMR,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,197501862,200668815.3,211381299.9,257710417.2,251576564.5,284005473.5,335928207.1,390830240.3,456280562.4,491889090.3,729774047.9,793051292,943912000.4,1311288737,1671668195,1810903415,1878440370,1911383893,2013215078,2266220106,2698093755,2694449201,2691627932,1953074692,1956872127,2132071773,1733392182,2211014455,1580660002,1378107627,1636645933,2313348981,2354149770,2295271126,2059848164,2437829406,2881977218,3165848308,3322828643,4008132751,4438925464,4793806222,6278066798,8291276208,6311089296,6841031829,8359880291,7888349861,8781390777,9905295761,7907933407,7333874148,7525797303,8734823900,9333954947,7544328677,9231794075,9090438014
"Congo, Dem. Rep.",COD,Imports of goods and services (current US$),NE.IMP.GNFS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157757147,1338976146,1749529627,913626093.6,2044987887,826448700,2971014493,971000000,1190984744,2684033001,2739841247,3514019565,3795526224,6873939039,8854270847,6738233525,10704459664,11804250541,11004111070,13405258811,15030792453,11984597604,11871538577,14843046971,17774432914,15205263181,14559943785,22193237569,29559714351
